VARIABLE NAME,developer-friendly name,NAME OF DATA ELEMENT,SOURCE,dev-category
OMENRYP8_PTFT,outcome_percentage.part_time.first_time.8yr.still_enrolled,"Percentage of part-time, first-time students that did not receive an award and are still enrolled at this institution 8 years after entry",IPEDS,completion
OMENRAP8_PTFT,outcome_percentage.part_time.first_time.8yr.transfer,"Percentage of part-time, first-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry",IPEDS,completion
OMENRUP8_PTFT,outcome_percentage.part_time.first_time.8yr.unknown,"Percentage of part-time, first-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry",IPEDS,completion
OMACHT6_FTNFT,outcome_cohort.full_time.not_first_time.6yr,"Adjusted cohort count of full-time, not first-time students (denominator for the percentage receiving an award within 6 years of entry)",IPEDS,completion
OMAWDP6_FTNFT,outcome_percentage.full_time.not_first_time.6yr.award,"Percentage of full-time, not first-time student receiving an award within 6 years of entry",IPEDS,completion
OMACHT8_FTNFT,outcome_cohort.full_time.not_first_time.8yr,"Adjusted cohort count of full-time, not first-time students (denominator for the 8-year outcomes percentages)",IPEDS,completion
OMAWDP8_FTNFT,outcome_percentage.full_time.not_first_time.8yr.award,"Percentage of full-time, not first-time student receiving an award within 8 years of entry",IPEDS,completion
OMENRYP8_FTNFT,outcome_percentage.full_time.not_first_time.8yr.still_enrolled,"Percentage of full-time, not first-time students that did not receive an award and are still enrolled at this institution 8 years after entry",IPEDS,completion
OMENRAP8_FTNFT,outcome_percentage.full_time.not_first_time.8yr.transfer,"Percentage of full-time, not first-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry",IPEDS,completion
OMENRUP8_FTNFT,outcome_percentage.full_time.not_first_time.8yr.unknown,"Percentage of full-time, not first-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry",IPEDS,completion
OMACHT6_PTNFT,outcome_cohort.part_time.not_first_time.6yr,"Adjusted cohort count of part-time, not first-time students (denominator for the percentage receiving an award within 6 years of entry)",IPEDS,completion
OMAWDP6_PTNFT,outcome_percentage.part_time.not_first_time.6yr.award,"Percentage of part-time, not first-time student receiving an award within 6 years of entry",IPEDS,completion
OMACHT8_PTNFT,outcome_cohort.part_time.not_first_time.8yr,"Adjusted cohort count of part-time, not first-time students (denominator for the 8-year outcomes percentages)",IPEDS,completion
OMAWDP8_PTNFT,outcome_percentage.part_time.not_first_time.8yr.award,"Percentage of part-time, not first-time student receiving an award within 8 years of entry",IPEDS,completion
OMENRYP8_PTNFT,outcome_percentage.part_time.not_first_time.8yr.still_enrolled,"Percentage of part-time, not first-time students that did not receive an award and are still enrolled at this institution 8 years after entry",IPEDS,completion
OMENRAP8_PTNFT,outcome_percentage.part_time.not_first_time.8yr.transfer,"Percentage of part-time, not first-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry",IPEDS,completion
OMENRUP8_PTNFT,outcome_percentage.part_time.not_first_time.8yr.unknown,"Percentage of part-time, not first-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry",IPEDS,completion
RET_FT4_POOLED,retention_rate.four_year.full_time_pooled,"First-time, full-time student retention rate at four-year institutions",IPEDS,student
RET_FTL4_POOLED,retention_rate.lt_four_year.full_time_pooled,"First-time, full-time student retention rate at less-than-four-year institutions",IPEDS,student
RET_PT4_POOLED,retention_rate.four_year.part_time_pooled,"First-time, part-time student retention rate at four-year institutions",IPEDS,student
RET_PTL4_POOLED,retention_rate.lt_four_year.part_time_pooled,"First-time, part-time student retention rate at less-than-four-year institutions",IPEDS,student
RET_FT_DEN4_POOLED,retention_rate.cohort.four_year.full_time_pooled,"Adjusted cohort count for the first-time, full-time student retention rate at four-year institutions (denominator of the retention rate)",IPEDS,student
RET_FT_DENL4_POOLED,retention_rate.cohort.lt_four_year.full_time_pooled,"Adjusted cohort count for the first-time, full-time student retention rate at less-than-four-year institutions (denominator of the retention rate)",IPEDS,student
RET_PT_DEN4_POOLED,retention_rate.cohort.four_year.part_time_pooled,"Adjusted cohort count for the first-time, part-time student retention rate at four-year institutions (denominator of the retention rate)",IPEDS,student
RET_PT_DENL4_POOLED,retention_rate.cohort.lt_four_year.part_time_pooled,"Adjusted cohort count for the first-time, part-time student retention rate at less-than-four-year institutions (denominator of the retention rate)",IPEDS,student
POOLYRSRET_FT,retention_rate.pooled_yrs_used.full_time,Years used for rolling averages of full-time retention rate RET_FT[4/L4]_POOLED,IPEDS,student
POOLYRSRET_PT,retention_rate.pooled_yrs_used.part_time,Years used for rolling averages of part-time retention rate RET_PT[4/L4]_POOLED,IPEDS,student
RET_FT4_POOLED_SUPP,retention_rate_suppressed.four_year.full_time_pooled,"First-time, full-time student retention rate at four-year institutions",IPEDS,student
RET_FTL4_POOLED_SUPP,retention_rate_suppressed.lt_four_year.full_time_pooled,"First-time, full-time student retention rate at less-than-four-year institutions",IPEDS,student
RET_PT4_POOLED_SUPP,retention_rate_suppressed.four_year.part_time_pooled,"First-time, part-time student retention rate at four-year institutions",IPEDS,student
RET_PTL4_POOLED_SUPP,retention_rate_suppressed.lt_four_year.part_time_pooled,"First-time, part-time student retention rate at less-than-four-year institutions",IPEDS,student
TRANS_4_POOLED,transfer_rate.4yr.full_time_pooled,"Transfer rate for first-time, full-time students at four-year institutions (within 150% of expected time to completion/6 years)",IPEDS,completion
TRANS_L4_POOLED,transfer_rate.less_than_4yr.full_time_pooled,"Transfer rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion)",IPEDS,completion
DTRANS_4_POOLED,transfer_rate.cohort_4yr.full_time_pooled,Adjusted cohort count for transfer rate at four-year institutions (denominator of 150% transfer rate),IPEDS,completion
DTRANS_L4_POOLED,transfer_rate.cohort_less_than_4yr.full_time_pooled,Adjusted cohort count for transfer rate at less-than-four-year institutions (denominator of 150% transfer rate),IPEDS,completion
TRANS_4_POOLED_SUPP,transfer_rate_suppressed.4yr.full_time_pooled,"Transfer rate for first-time, full-time students at four-year institutions (within 150% of expected time to completion/6 years)",IPEDS,completion
TRANS_L4_POOLED_SUPP,transfer_rate_suppressed.less_than_4yr.full_time_pooled,"Transfer rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion)",IPEDS,completion
C100_4_POOLED,completion_rate_four_year_100_pooled,"Completion rate for first-time, full-time students at four-year institutions (100% of expected time to completion), pooled for rolling averages",IPEDS,completion
C100_L4_POOLED,completion_rate_lt_four_year_100_pooled,"Completion rate for first-time, full-time students at less-than-four-year institutions (100% of expected time to completion), pooled for rolling averages",IPEDS,completion
D100_4_POOLED,completion_cohort_four_year_100_pooled,"Adjusted cohort count for completion rate at four-year institutions (denominator of 100% completion rate), pooled for rolling averages",IPEDS,completion
D100_L4_POOLED,completion_cohort_lt_four_year_100_pooled,"Adjusted cohort count for completion rate at less-than-four-year institutions (denominator of 100% completion rate), pooled for rolling averages",IPEDS,completion
POOLYRS100,pooled_yrs_used_100,Years used for rolling averages of completion rate C100_[4/L4]_POOLED,IPEDS,completion
C100_4_POOLED_SUPP,rate_suppressed.four_year_100_pooled,"Completion rate for first-time, full-time students at four-year institutions (100% of expected time to completion), pooled for rolling averages and suppressed for small n size.",IPEDS,completion
C100_L4_POOLED_SUPP,rate_suppressed.lt_four_year_100_pooled,"Completion rate for first-time, full-time students at less-than-four-year institutions (100% of expected time to completion), pooled for rolling averages and suppressed for small n size.",IPEDS,completion
C150_4_PELL,completion_rate_four_year_150_pell,"Completion rate for first-time, full-time students receiving a Pell Grant during their first year of college at four-year institutions (150% of expected time to completion)",IPEDS,completion
D150_4_PELL,completion_cohort_four_year_150_pell,Adjusted cohort count for Pell Grant recipient completion rate at four-year institutions (denominator of 150% Pell Grant recipient completion rate),IPEDS,completion
C150_L4_PELL,completion_rate_lt_four_year_150_pell,"Completion rate for first-time, full-time students receiving a Pell Grant during their first year of college at less-than-four-year institutions (150% of expected time to completion)",IPEDS,completion
D150_L4_PELL,completion_cohort_lt_four_year_150_pell,Adjusted cohort count for Pell Grant recipient completion rate at less-than-four-year institutions (denominator of 150% Pell Grant recipient completion rate),IPEDS,completion
C150_4_LOANNOPELL,completion_rate_four_year_150_loan_nopell,"Completion rate for first-time, full-time students receiving a Direct Subsidized Loan but not a Pell Grant during their first year of college at four-year institutions (150% of expected time to completion)",IPEDS,completion
D150_4_LOANNOPELL,completion_cohort_four_year_150_loan_nopell,Adjusted cohort count for Direct Subsidized Loan recipients who did not receive a Pell Grant completion rate at four-year institutions (denominator of 150% Direct Subsidized Loan recipient who did not receive a Pell Grant completion rate),IPEDS,completion
C150_L4_LOANNOPELL,completion_rate_lt_four_year_150_loan_nopell,"Completion rate for first-time, full-time students receiving a Direct Subsidized Loan but not a Pell Grant during their first year of college at less-than-four-year institutions (150% of expected time to completion)",IPEDS,completion
D150_L4_LOANNOPELL,completion_cohort_lt_four_year_150_loan_nopell,Adjusted cohort count for Direct Subsidized Loan recipients who did not receive a Pell Grant completion rate at less-than-four-year institutions (denominator of 150% Direct Subsidized Loan recipient who did not receive a Pell Grant completion rate),IPEDS,completion
C150_4_NOLOANNOPELL,completion_rate_four_year_150_noloan_nopell,"Completion rate for first-time, full-time students receiving neither a Direct Subsidized Loan or a Pell Grant during their first year of college at four-year institutions (150% of expected time to completion)",IPEDS,completion
D150_4_NOLOANNOPELL,completion_cohort_four_year_150_noloan_nopell,Adjusted cohort count for those who did not receive a Direct Subsidized Loan or a Pell Grant completion rate at four-year institutions (denominator of 150% did not receive a Direct Subsidized Loan or Pell Grant completion rate),IPEDS,completion
C150_L4_NOLOANNOPELL,completion_rate_lt_four_year_150_noloan_nopell,"Completion rate for first-time, full-time students receiving neither a Direct Subsidized Loan or a Pell Grant during their first year of college at less-than-four-year institutions (150% of expected time to completion)",IPEDS,completion
D150_L4_NOLOANNOPELL,completion_cohort_lt_four_year_150_noloan_nopell,Adjusted cohort count for those who did not receive a Direct Subsidized Loan or a Pell Grant completion rate at less-than-four-year institutions (denominator of 150% did not receive a Direct Subsidized Loan or Pell Grant completion rate),IPEDS,completion
OMACHT6_FTFT_POOLED,outcome_cohort.full_time.first_time.6yr_pooled,"Adjusted cohort count of full-time, first-time students (denominator for the percentage receiving an award within 6 years of entry), pooled across years.",IPEDS,completion
OMAWDP6_FTFT_POOLED,outcome_percentage.full_time.first_time.6yr.award_pooled,"Percentage of full-time, first-time student receiving an award within 6 years of entry, pooled in rolling averages.",IPEDS,completion
OMACHT8_FTFT_POOLED,outcome_cohort.full_time.first_time.8yr_pooled,"Adjusted cohort count of full-time, first-time students (denominator for the 8-year outcomes percentages), pooled across years.",IPEDS,completion
OMAWDP8_FTFT_POOLED,outcome_percentage.full_time.first_time.8yr.award_pooled,"Percentage of full-time, first-time student receiving an award within 8 years of entry, pooled in rolling averages.",IPEDS,completion
OMENRYP8_FTFT_POOLED,outcome_percentage.full_time.first_time.8yr.still_enrolled_pooled,"Percentage of full-time, first-time students that did not receive an award and are still enrolled at this institution 8 years after entry, pooled in rolling averages.",IPEDS,completion
OMENRAP8_FTFT_POOLED,outcome_percentage.full_time.first_time.8yr.transfer_pooled,"Percentage of full-time, first-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages.",IPEDS,completion
OMENRUP8_FTFT_POOLED,outcome_percentage.full_time.first_time.8yr.unknown_pooled,"Percentage of full-time, first-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages.",IPEDS,completion
OMACHT6_PTFT_POOLED,outcome_cohort.part_time.first_time.6yr_pooled,"Adjusted cohort count of part-time, first-time students (denominator for the percentage receiving an award within 6 years of entry), pooled across years.",IPEDS,completion
OMAWDP6_PTFT_POOLED,outcome_percentage.part_time.first_time.6yr.award_pooled,"Percentage of part-time, first-time student receiving an award within 6 years of entry, pooled in rolling averages.",IPEDS,completion
OMACHT8_PTFT_POOLED,outcome_cohort.part_time.first_time.8yr_pooled,"Adjusted cohort count of part-time, first-time students (denominator for the 8-year outcomes percentages), pooled across years.",IPEDS,completion
OMAWDP8_PTFT_POOLED,outcome_percentage.part_time.first_time.8yr.award_pooled,"Percentage of part-time, first-time student receiving an award within 8 years of entry, pooled in rolling averages.",IPEDS,completion
OMENRYP8_PTFT_POOLED,outcome_percentage.part_time.first_time.8yr.still_enrolled_pooled,"Percentage of part-time, first-time students that did not receive an award and are still enrolled at this institution 8 years after entry, pooled in rolling averages.",IPEDS,completion
OMENRAP8_PTFT_POOLED,outcome_percentage.part_time.first_time.8yr.transfer_pooled,"Percentage of part-time, first-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages.",IPEDS,completion
OMENRUP8_PTFT_POOLED,outcome_percentage.part_time.first_time.8yr.unknown_pooled,"Percentage of part-time, first-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages.",IPEDS,completion
OMACHT6_FTNFT_POOLED,outcome_cohort.full_time.not_first_time.6yr_pooled,"Adjusted cohort count of full-time, not first-time students (denominator for the percentage receiving an award within 6 years of entry), pooled across years.",IPEDS,completion
OMAWDP6_FTNFT_POOLED,outcome_percentage.full_time.not_first_time.6yr.award_pooled,"Percentage of full-time, not first-time student receiving an award within 6 years of entry, pooled in rolling averages.",IPEDS,completion
OMACHT8_FTNFT_POOLED,outcome_cohort.full_time.not_first_time.8yr_pooled,"Adjusted cohort count of full-time, not first-time students (denominator for the 8-year outcomes percentages), pooled across years.",IPEDS,completion
OMAWDP8_FTNFT_POOLED,outcome_percentage.full_time.not_first_time.8yr.award_pooled,"Percentage of full-time, not first-time student receiving an award within 8 years of entry, pooled in rolling averages.",IPEDS,completion
OMENRYP8_FTNFT_POOLED,outcome_percentage.full_time.not_first_time.8yr.still_enrolled_pooled,"Percentage of full-time, not first-time students that did not receive an award and are still enrolled at this institution 8 years after entry, pooled in rolling averages.",IPEDS,completion
OMENRAP8_FTNFT_POOLED,outcome_percentage.full_time.not_first_time.8yr.transfer_pooled,"Percentage of full-time, not first-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages.",IPEDS,completion
OMENRUP8_FTNFT_POOLED,outcome_percentage.full_time.not_first_time.8yr.unknown_pooled,"Percentage of full-time, not first-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages.",IPEDS,completion
OMACHT6_PTNFT_POOLED,outcome_cohort.part_time.not_first_time.6yr_pooled,"Adjusted cohort count of part-time, not first-time students (denominator for the percentage receiving an award within 6 years of entry), pooled across years.",IPEDS,completion
OMAWDP6_PTNFT_POOLED,outcome_percentage.part_time.not_first_time.6yr.award_pooled,"Percentage of part-time, not first-time student receiving an award within 6 years of entry, pooled in rolling averages.",IPEDS,completion
OMACHT8_PTNFT_POOLED,outcome_cohort.part_time.not_first_time.8yr_pooled,"Adjusted cohort count of part-time, not first-time students (denominator for the 8-year outcomes percentages), pooled across years.",IPEDS,completion
OMAWDP8_PTNFT_POOLED,outcome_percentage.part_time.not_first_time.8yr.award_pooled,"Percentage of part-time, not first-time student receiving an award within 8 years of entry, pooled in rolling averages.",IPEDS,completion
OMENRYP8_PTNFT_POOLED,outcome_percentage.part_time.not_first_time.8yr.still_enrolled_pooled,"Percentage of part-time, not first-time students that did not receive an award and are still enrolled at this institution 8 years after entry, pooled in rolling averages.",IPEDS,completion
OMENRAP8_PTNFT_POOLED,outcome_percentage.part_time.not_first_time.8yr.transfer_pooled,"Percentage of part-time, not first-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages.",IPEDS,completion
OMENRUP8_PTNFT_POOLED,outcome_percentage.part_time.not_first_time.8yr.unknown_pooled,"Percentage of part-time, not first-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages.",IPEDS,completion
POOLYRSOM_FTFT,outcome_years.full_time.first_time,Years used for rolling averages of outcome metrics OM[ACHT6/AWDP6/ACHT8/AWDP8/ENRAP8/ENRYP8/ENRUP8]_FTFT_POOLED,IPEDS,completion
POOLYRSOM_PTFT,outcome_years.part_time.first_time,Years used for rolling averages of outcome metrics OM[ACHT6/AWDP6/ACHT8/AWDP8/ENRAP8/ENRYP8/ENRUP8]_PTFT_POOLED,IPEDS,completion
POOLYRSOM_FTNFT,outcome_years.full_time.not_first_time,Years used for rolling averages of outcome metrics OM[ACHT6/AWDP6/ACHT8/AWDP8/ENRAP8/ENRYP8/ENRUP8]_FTNFT_POOLED,IPEDS,completion
POOLYRSOM_PTNFT,outcome_years.part_time.not_first_time,Years used for rolling averages of outcome metrics OM[ACHT6/AWDP6/ACHT8/AWDP8/ENRAP8/ENRYP8/ENRUP8]_PTNFT_POOLED,IPEDS,completion
OMAWDP6_FTFT_POOLED_SUPP,outcome_percentage_suppressed.full_time.first_time.6yr.award_pooled,"Percentage of full-time, first-time student receiving an award within 6 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMAWDP8_FTFT_POOLED_SUPP,outcome_percentage_suppressed.full_time.first_time.8yr.award_pooled,"Percentage of full-time, first-time student receiving an award within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRYP8_FTFT_POOLED_SUPP,outcome_percentage_suppressed.full_time.first_time.8yr.still_enrolled_pooled,"Percentage of full-time, first-time students that did not receive an award and are still enrolled at this institution 8 years after entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRAP8_FTFT_POOLED_SUPP,outcome_percentage_suppressed.full_time.first_time.8yr.transfer_pooled,"Percentage of full-time, first-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRUP8_FTFT_POOLED_SUPP,outcome_percentage_suppressed.full_time.first_time.8yr.unknown_pooled,"Percentage of full-time, first-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMAWDP6_PTFT_POOLED_SUPP,outcome_percentage_suppressed.part_time.first_time.6yr.award_pooled,"Percentage of part-time, first-time student receiving an award within 6 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMAWDP8_PTFT_POOLED_SUPP,outcome_percentage_suppressed.part_time.first_time.8yr.award_pooled,"Percentage of part-time, first-time student receiving an award within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRYP8_PTFT_POOLED_SUPP,outcome_percentage_suppressed.part_time.first_time.8yr.still_enrolled_pooled,"Percentage of part-time, first-time students that did not receive an award and are still enrolled at this institution 8 years after entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRAP8_PTFT_POOLED_SUPP,outcome_percentage_suppressed.part_time.first_time.8yr.transfer_pooled,"Percentage of part-time, first-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRUP8_PTFT_POOLED_SUPP,outcome_percentage_suppressed.part_time.first_time.8yr.unknown_pooled,"Percentage of part-time, first-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMAWDP6_FTNFT_POOLED_SUPP,outcome_percentage_suppressed.full_time.not_first_time.6yr.award_pooled,"Percentage of full-time, not first-time student receiving an award within 6 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMAWDP8_FTNFT_POOLED_SUPP,outcome_percentage_suppressed.full_time.not_first_time.8yr.award_pooled,"Percentage of full-time, not first-time student receiving an award within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRYP8_FTNFT_POOLED_SUPP,outcome_percentage_suppressed.full_time.not_first_time.8yr.still_enrolled_pooled,"Percentage of full-time, not first-time students that did not receive an award and are still enrolled at this institution 8 years after entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRAP8_FTNFT_POOLED_SUPP,outcome_percentage_suppressed.full_time.not_first_time.8yr.transfer_pooled,"Percentage of full-time, not first-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRUP8_FTNFT_POOLED_SUPP,outcome_percentage_suppressed.full_time.not_first_time.8yr.unknown_pooled,"Percentage of full-time, not first-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMAWDP6_PTNFT_POOLED_SUPP,outcome_percentage_suppressed.part_time.not_first_time.6yr.award_pooled,"Percentage of part-time, not first-time student receiving an award within 6 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMAWDP8_PTNFT_POOLED_SUPP,outcome_percentage_suppressed.part_time.not_first_time.8yr.award_pooled,"Percentage of part-time, not first-time student receiving an award within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRYP8_PTNFT_POOLED_SUPP,outcome_percentage_suppressed.part_time.not_first_time.8yr.still_enrolled_pooled,"Percentage of part-time, not first-time students that did not receive an award and are still enrolled at this institution 8 years after entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRAP8_PTNFT_POOLED_SUPP,outcome_percentage_suppressed.part_time.not_first_time.8yr.transfer_pooled,"Percentage of part-time, not first-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRUP8_PTNFT_POOLED_SUPP,outcome_percentage_suppressed.part_time.not_first_time.8yr.unknown_pooled,"Percentage of part-time, not first-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
SCHTYPE,ownership_peps,"Control of institution, per PEPS",FSA,school
OPEFLAG,title_iv.eligibility_type,Title IV eligibility type,IPEDS,school
PRGMOFR,program_reporter.programs_offered,Number of programs offered,IPEDS,academics
CIPCODE1,program_reporter.program_1.cip_6_digit.code,CIP code of largest program,IPEDS,academics
CIPCODE2,program_reporter.program_2.cip_6_digit.code,CIP code of program #2,IPEDS,academics
CIPCODE3,program_reporter.program_3.cip_6_digit.code,CIP code of program #3,IPEDS,academics
CIPCODE4,program_reporter.program_4.cip_6_digit.code,CIP code of program #4,IPEDS,academics
CIPCODE5,program_reporter.program_5.cip_6_digit.code,CIP code of program #5,IPEDS,academics
CIPCODE6,program_reporter.program_6.cip_6_digit.code,CIP code of program #6,IPEDS,academics
CIPTITLE1,program_reporter.program_1.cip_6_digit.title,CIP text description of largest program,IPEDS,academics
CIPTITLE2,program_reporter.program_2.cip_6_digit.title,CIP text description of program #2,IPEDS,academics
CIPTITLE3,program_reporter.program_3.cip_6_digit.title,CIP text description of program #3,IPEDS,academics
CIPTITLE4,program_reporter.program_4.cip_6_digit.title,CIP text description of program #4,IPEDS,academics
CIPTITLE5,program_reporter.program_5.cip_6_digit.title,CIP text description of program #5,IPEDS,academics
CIPTITLE6,program_reporter.program_6.cip_6_digit.title,CIP text description of program #6,IPEDS,academics
CIPTFBS1,program_reporter.program_1.cip_6_digit.full_program,"Tuition, fees, books, and supply charges for largest program (full program)",IPEDS,cost
CIPTFBS2,program_reporter.program_2.cip_6_digit.full_program,"Tuition, fees, books, and supply charges for program #2 (full program)",IPEDS,cost
CIPTFBS3,program_reporter.program_3.cip_6_digit.full_program,"Tuition, fees, books, and supply charges for program #3 (full program)",IPEDS,cost
CIPTFBS4,program_reporter.program_4.cip_6_digit.full_program,"Tuition, fees, books, and supply charges for program #4 (full program)",IPEDS,cost
CIPTFBS5,program_reporter.program_5.cip_6_digit.full_program,"Tuition, fees, books, and supply charges for program #5 (full program)",IPEDS,cost
CIPTFBS6,program_reporter.program_6.cip_6_digit.full_program,"Tuition, fees, books, and supply charges for program #6 (full program)",IPEDS,cost
CIPTFBSANNUAL1,program_reporter.program_1.cip_6_digit.annualized,"Tuition, fees, books, and supply charges for largest program (annualized based on institution's academic year)",IPEDS,cost
CIPTFBSANNUAL2,program_reporter.program_2.cip_6_digit.annualized,"Tuition, fees, books, and supply charges for program #2 (annualized based on institution's academic year)",IPEDS,cost
CIPTFBSANNUAL3,program_reporter.program_3.cip_6_digit.annualized,"Tuition, fees, books, and supply charges for program #3 (annualized based on institution's academic year)",IPEDS,cost
CIPTFBSANNUAL4,program_reporter.program_4.cip_6_digit.annualized,"Tuition, fees, books, and supply charges for program #4 (annualized based on institution's academic year)",IPEDS,cost
CIPTFBSANNUAL5,program_reporter.program_5.cip_6_digit.annualized,"Tuition, fees, books, and supply charges for program #5 (annualized based on institution's academic year)",IPEDS,cost
CIPTFBSANNUAL6,program_reporter.program_6.cip_6_digit.annualized,"Tuition, fees, books, and supply charges for program #6 (annualized based on institution's academic year)",IPEDS,cost
MTHCMP1,program_reporter.program_1.cip_6_digit.avg_month_completion,Average number of months needed to complete largest program,IPEDS,academics
MTHCMP2,program_reporter.program_2.cip_6_digit.avg_month_completion,Average number of months needed to complete program #2,IPEDS,academics
MTHCMP3,program_reporter.program_3.cip_6_digit.avg_month_completion,Average number of months needed to complete program #3,IPEDS,academics
MTHCMP4,program_reporter.program_4.cip_6_digit.avg_month_completion,Average number of months needed to complete program #4,IPEDS,academics
MTHCMP5,program_reporter.program_5.cip_6_digit.avg_month_completion,Average number of months needed to complete program #5,IPEDS,academics
MTHCMP6,program_reporter.program_6.cip_6_digit.avg_month_completion,Average number of months needed to complete program #6,IPEDS,academics
POOLYRSOM_ALL,outcome_years.om_all_students,Years used for rolling averages of outcome metrics OM[AWDP8/ENRAP8/ENRYP8/ENRUP8]_ALL_POOLED,IPEDS,completion
POOLYRSOM_FIRSTTIME,outcome_years.om_first_time,Years used for rolling averages of outcome metrics OM[AWDP8/ENRAP8/ENRYP8/ENRUP8]_FIRSTTIME_POOLED,IPEDS,completion
POOLYRSOM_NOTFIRSTTIME,outcome_years.om_not_first_time,Years used for rolling averages of outcome metrics OM[AWDP8/ENRAP8/ENRYP8/ENRUP8]_NOTFIRSTTIME_POOLED,IPEDS,completion
POOLYRSOM_FULLTIME,outcome_years.om_full_time,Years used for rolling averages of outcome metrics OM[AWDP8/ENRAP8/ENRYP8/ENRUP8]_FULLTIME_POOLED,IPEDS,completion
POOLYRSOM_PARTTIME,outcome_years.om_part_time,Years used for rolling averages of outcome metrics OM[AWDP8/ENRAP8/ENRYP8/ENRUP8]_PARTTIME_POOLED,IPEDS,completion
OMENRYP_ALL,outcome_percentage.all_students.8yr.still_enrolled,Percentage of all students that did not receive an award and are still enrolled at this institution 8 years after entry,IPEDS,completion
OMENRAP_ALL,outcome_percentage.all_students.8yr.transfer,Percentage of all students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry,IPEDS,completion
OMAWDP8_ALL,outcome_percentage.all_students.8yr.award,Percentage of all student receiving an award within 8 years of entry,IPEDS,completion
OMENRUP_ALL,outcome_percentage.all_students.8yr.unknown,Percentage of all students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry,IPEDS,completion
OMENRYP_FIRSTTIME,outcome_percentage.first_time.8yr.still_enrolled,Percentage of first-time students that did not receive an award and are still enrolled at this institution 8 years after entry,IPEDS,completion
OMENRAP_FIRSTTIME,outcome_percentage.first_time.8yr.transfer,Percentage of first-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry,IPEDS,completion
OMAWDP8_FIRSTTIME,outcome_percentage.first_time.8yr.award,Percentage of first-time student receiving an award within 8 years of entry,IPEDS,completion
OMENRUP_FIRSTTIME,outcome_percentage.first_time.8yr.unknown,Percentage of first-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry,IPEDS,completion
OMENRYP_NOTFIRSTTIME,outcome_percentage.not_first_time.8yr.still_enrolled,Percentage of not first-time students that did not receive an award and are still enrolled at this institution 8 years after entry,IPEDS,completion
