VARIABLE NAME,developer-friendly name,NAME OF DATA ELEMENT,SOURCE,dev-category
CIP43CERT4,program.certificate_lt_4_yr.security_law_enforcement,"Award of at least two but less than four academic years in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.",IPEDS,academics
CIP43BACHL,program.bachelors.security_law_enforcement,"Bachelor's degree in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.",IPEDS,academics
CIP44CERT1,program.certificate_lt_1_yr.public_administration_social_service,Certificate of less than one academic year in Public Administration And Social Service Professions.,IPEDS,academics
CIP44CERT2,program.certificate_lt_2_yr.public_administration_social_service,Certificate of at least one but less than two academic years in Public Administration And Social Service Professions.,IPEDS,academics
CIP44ASSOC,program.assoc.public_administration_social_service,Associate degree in Public Administration And Social Service Professions.,IPEDS,academics
CIP44CERT4,program.certificate_lt_4_yr.public_administration_social_service,Award of at least two but less than four academic years in Public Administration And Social Service Professions.,IPEDS,academics
CIP44BACHL,program.bachelors.public_administration_social_service,Bachelor's degree in Public Administration And Social Service Professions.,IPEDS,academics
CIP45CERT1,program.certificate_lt_1_yr.social_science,Certificate of less than one academic year in Social Sciences.,IPEDS,academics
CIP45CERT2,program.certificate_lt_2_yr.social_science,Certificate of at least one but less than two academic years in Social Sciences.,IPEDS,academics
CIP45ASSOC,program.assoc.social_science,Associate degree in Social Sciences.,IPEDS,academics
CIP45CERT4,program.certificate_lt_4_yr.social_science,Award of at least two but less than four academic years in Social Sciences.,IPEDS,academics
CIP45BACHL,program.bachelors.social_science,Bachelor's degree in Social Sciences.,IPEDS,academics
