VARIABLE NAME,developer-friendly name,NAME OF DATA ELEMENT,SOURCE,dev-category
BBRR4_FED_COMP_MAKEPROG,cip_4_digit.repayment.4_yr_bb_fed_comp.makingprogress,Percentage of undergraduate completer undergraduate federal student loan borrowers making progress after 4 years,NSLDS,programs
BBRR4_FED_COMP_PAIDINFULL,cip_4_digit.repayment.4_yr_bb_fed_comp.fullypaid,Percentage of undergraduate completer undergraduate federal student loan borrowers paid in full after 4 years,NSLDS,programs
BBRR4_FED_COMP_DISCHARGE,cip_4_digit.repayment.4_yr_bb_fed_comp.discharge,Percentage of undergraduate completer undergraduate federal student loan borrowers with all loans discharged after 4 years,NSLDS,programs
DISTANCE,cip_4_digit.distance,Distance education indiciator for the field of study,IPEDS,programs
EARN_COUNT_NWNE_5YR,cip_4_digit.earnings.5_yr.not_working_not_enrolled.overall_count,Number of graduates not working and not enrolled 5 year after completing,Treasury,programs
EARN_COUNT_WNE_5YR,cip_4_digit.earnings.5_yr.working_not_enrolled.overall_count,Number of graduates working and not enrolled 5 year after completing,Treasury,programs
EARN_MDN_5YR,cip_4_digit.earnings.5_yr.overall_median_earnings,Median earnings of graduates working and not enrolled 5 year after completing,Treasury,programs
EARN_GT_THRESHOLD_5YR,cip_4_digit.earnings.5_yr.overall_count_more_than_HS_Grad,Number of graduates working and not enrolled 5 years after completing who earned more than a high school graduate,Treasury,programs
EARN_COUNT_PELL_WNE_5YR,cip_4_digit.earnings.5_yr.working_not_enrolled.pell_count,Number of graduates who received a Pell Grant and were working and not enrolled 5 year after completing,Treasury,programs
EARN_PELL_WNE_MDN_5YR,cip_4_digit.earnings.5_yr.pell_median_earnings,Median earnings of graduates who received a Pell Grant and were working and not enrolled 5 year after completing,Treasury,programs
EARN_COUNT_NOPELL_WNE_5YR,cip_4_digit.earnings.5_yr.working_not_enrolled.nonpell_count,Number of graduates who did not receive a Pell Grant and were working and not enrolled 5 year after completing,Treasury,programs
EARN_NOPELL_WNE_MDN_5YR,cip_4_digit.earnings.5_yr.nonpell_median_earnings,Median earnings of graduates who did not receive a Pell Grant and were working and not enrolled 5 year after completing,Treasury,programs
EARN_COUNT_MALE_WNE_5YR,cip_4_digit.earnings.5_yr.working_not_enrolled.male_count,Number of male graduates working and not enrolled 5 year after completing,Treasury,programs
EARN_MALE_WNE_MDN_5YR,cip_4_digit.earnings.5_yr.male_median_earnings,Median earnings of male graduates working and not enrolled 5 year after completing,Treasury,programs
EARN_COUNT_NOMALE_WNE_5YR,cip_4_digit.earnings.5_yr.working_not_enrolled.nonmale_count,Number of non-male graduates working and not enrolled 5 year after completing,Treasury,programs
EARN_NOMALE_WNE_MDN_5YR,cip_4_digit.earnings.5_yr.nonmale_median_earnings,Median earnings of non-male graduates working and not enrolled 5 year after completing,Treasury,programs
EARN_COUNT_HIGH_CRED_5YR,cip_4_digit.earnings.5_yr.overall_count_awarded_higher_credential,Number of graduates working and not enrolled 5 years after completing who went on to earn a higher credential,Treasury,programs
EARN_IN_STATE_5YR,cip_4_digit.earnings.5_yr.overall_count_working_in_institution_state,Number of graduates working and not enrolled 5 years after completing who were employed within the same state as the institution,Treasury,programs
